scenario,mode,N,b,c,w,mu,k,runs,birth_baseline,rescue_probability,rescue_se,censored_fraction,allc_at_rescue,allc_at_rescue_se,allc_g10,allc_g10_se,allc_g20,allc_g20_se,allc_g30,allc_g30_se,allc_g40,allc_g40_se,allc_g50,allc_g50_se,allc_g60,allc_g60_se,allc_g70,allc_g70_se,allc_g80,allc_g80_se,allc_g90,allc_g90_se,allc_g100,allc_g100_se
robustness,constant,100,5,1,0.5,1,0,300,3,1,0,0,0.7079333333,0.01540299189,0.1867,0.006943660037,0.0872,0.005855038136,0.03553333333,0.004001413723,0.016,0.002943920289,0.0073,0.002003099605,0.002533333333,0.001060461326,0.001233333333,0.0008735150908,0.0006666666667,0.0004914731872,0.0007,0.0005080511215,0.0004,0.0004
robustness,constant,100,7,1,0.5,1,0,300,3,1,0,0,0.7611,0.01297228716,0.289,0.007162471874,0.1934,0.007353119148,0.139,0.007539490977,0.09833333333,0.007391705456,0.07776666667,0.007019167631,0.05723333333,0.006306906963,0.042,0.005388993283,0.03586666667,0.005039724766,0.0309,0.004970208908,0.02436666667,0.004572687647
robustness,constant,100,3,1,1,1,0,300,3,1,0,0,0.6949666667,0.01693172718,0.1834666667,0.006783311763,0.08096666667,0.005663176511,0.0416,0.00445844432,0.02053333333,0.003237728167,0.01133333333,0.0025621955,0.0031,0.001191838653,0.0015,0.0008342247184,0.0007666666667,0.0006221807466,0,0,0,0
robustness,constant,100,5,1,1,1,0,300,3,1,0,0,0.7765666667,0.01288416953,0.3533,0.008183536372,0.2712666667,0.008346267777,0.239,0.0088268997,0.2116333333,0.008776361574,0.1880666667,0.009380759423,0.1793666667,0.009529616843,0.1764333333,0.009874058479,0.1587333333,0.009553883255,0.1433333333,0.009298149962,0.1262,0.00917807722
robustness,constant,100,7,1,1,1,0,300,3,1,0,0,0.8227,0.0105064152,0.4626,0.006571934517,0.4158333333,0.00758650717,0.3954,0.007616982142,0.386,0.00821397238,0.3768666667,0.008187636945,0.3772666667,0.008434519682,0.3662666667,0.008650670428,0.3780666667,0.009170792828,0.3691333333,0.009306004742,0.3686666667,0.01017213425
robustness,constant,200,3,1,0.25,1,0,300,3,1,0,0,0.6225166667,0.01922368039,0.04391666667,0.002489381948,0.0033,0.0006271718119,8.333333333e-05,5.515930781e-05,1.666666667e-05,1.666666667e-05,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,200,5,1,0.25,1,0,300,3,1,0,0,0.7043333333,0.01532142308,0.09423333333,0.003792078916,0.01808333333,0.001797350077,0.002066666667,0.0005206833117,0.0005166666667,0.0003201678188,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,200,7,1,0.25,1,0,300,3,1,0,0,0.6932833333,0.01664994398,0.1310833333,0.00472011861,0.04916666667,0.003263581803,0.02108333333,0.002368793108,0.00725,0.001557540904,0.0019,0.0006089906118,0.00065,0.0004183400067,0.0001666666667,0.0001666666667,0,0,0,0,0,0
robustness,constant,200,3,1,0.5,1,0,300,3,1,0,0,0.6353166667,0.0182661315,0.09075,0.004206098256,0.0161,0.00188887785,0.003083333333,0.0008378777982,0.0009333333333,0.0005299151892,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,200,5,1,0.5,1,0,300,3,1,0,0,0.72015,0.01533940367,0.1835666667,0.005117170765,0.08565,0.004336781387,0.04556666667,0.003724341676,0.02971666667,0.003168970441,0.01758333333,0.002674819442,0.0091,0.001995555262,0.006783333333,0.001844788123,0.0045,0.001452614603,0.003466666667,0.001302149268,0.001716666667,0.000879222043
robustness,constant,200,7,1,0.5,1,0,300,3,1,0,0,0.7628,0.01337077296,0.29565,0.005454124323,0.21095,0.005490443964,0.17195,0.005747603107,0.1445666667,0.006413208974,0.1241333333,0.006186325289,0.1122166667,0.006459461889,0.1009166667,0.006392296887,0.09201666667,0.006344315055,0.08291666667,0.006229155132,0.07136666667,0.005958832821
robustness,constant,200,3,1,1,1,0,300,3,1,0,0,0.6773,0.01686939568,0.18085,0.005470564029,0.09005,0.00450272338,0.04711666667,0.003584901008,0.02931666667,0.003083264635,0.0155,0.002459652113,0.008183333333,0.00175216037,0.003933333333,0.001174367007,0.004283333333,0.001471281821,0.001466666667,0.00065390233,0.0006833333333,0.0004916801294
robustness,constant,200,5,1,1,1,0,300,3,1,0,0,0.7973,0.01202466946,0.3661,0.005428553889,0.2953666667,0.005341211086,0.2748666667,0.005413240577,0.2594166667,0.005843197187,0.2556166667,0.005992201283,0.26945,0.006368719063,0.2558333333,0.006314007067,0.2455833333,0.006536769269,0.2523166667,0.006507148043,0.2515,0.006722377313
robustness,constant,200,7,1,1,1,0,300,3,1,0,0,0.8141833333,0.01042904834,0.4785333333,0.004881373907,0.4248333333,0.004703578735,0.4190666667,0.005246210786,0.4163166667,0.005119480922,0.41275,0.005148146672,0.4131166667,0.005038382131,0.4104,0.005162846432,0.4085833333,0.004765893924,0.4126,0.005067297385,0.4059166667,0.004863204412
robustness,responsive,50,3,1,0.25,1,0,300,3,0.9833333333,0.007391185942,0,0.9155932203,0.01327440187,0.9206779661,0.01381161004,0.9231864407,0.01415395442,0.9279322034,0.01425575496,0.9273898305,0.01456684247,0.9246779661,0.01491818048,0.9252881356,0.01503803951,0.9265762712,0.01502326956,0.9268474576,0.01509330225,0.9258305085,0.01524297674,0.9256271186,0.0152808592
robustness,responsive,50,5,1,0.25,1,0,300,3,0.96,0.0113137085,0,0.9184722222,0.01293359844,0.92625,0.01331769463,0.9424305556,0.01218619789,0.9520138889,0.01164654808,0.9579166667,0.01145884145,0.9586805556,0.01150202109,0.9584027778,0.01166939639,0.9581944444,0.0117751824,0.9590277778,0.01161789196,0.9583333333,0.01179537433,0.9583333333,0.01179537433
robustness,responsive,50,7,1,0.25,1,0,300,3,0.9866666667,0.006622073078,0,0.9305405405,0.01047252448,0.9380405405,0.01113325747,0.9472972973,0.01096126412,0.9546621622,0.01048042381,0.9639189189,0.009865015467,0.9697972973,0.009474504592,0.9688513514,0.009796608566,0.9710135135,0.009529287945,0.9714864865,0.009485230911,0.9719594595,0.009485905542,0.9722297297,0.009463462768
